# BEAST v1.7.0 Prerelease r4143, r4143
# Generated Fri Jul 14 08:12:49 BST 2017 [seed=1500016368217]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(obscura_root)	tmrca(paralog_armi)	yule.birthRate	CP1+2.kappa	CP3.kappa	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	CP1+2.treeLikelihood	CP3.treeLikelihood	speciation
400000	-60964.29898441907	-224.5577513121624	-60739.741233106906	1.0033766542909295	0.9987441624884377	0.0781639646862893	4.605805089862524	1.9831806738731919	3.789025290387226	0.547869792100587	3.74759288049603	0.5723198971825859	1.8553602056348282	0.9616525039520859	1.0078795420124846	0.6141819097838237	0.8432820342489501	-0.10935096791310828	-30271.689261923908	-30468.051971182995	13.997350974503387
410000	-60966.35213313461	-224.87052075203582	-60741.48161238258	0.9999457895756503	0.9999457895756503	0.07694544442450761	4.781525657904596	1.8393160295147277	3.909185399185173	0.5066202480911821	4.026657937024357	0.5685231724631125	1.862953655073775	0.9225776150641645	0.9758995082217753	0.6088743900934953	0.8152177439582106	-0.08484823847205146	-30300.529705910303	-30440.951906472277	13.257861263065935
420000	-60955.71246476386	-223.45401050522705	-60732.258454258634	1.0178442256784377	0.9992817172009014	0.0809232340095987	3.711821529191529	1.8638933090398069	3.6809732423442134	0.514143397963961	3.569453195267669	0.5612529594430521	1.8774940811138958	0.9405973576296093	0.9946604620845542	0.5904857063146974	0.8768663636080881	-0.12123988207237527	-30254.675557876042	-30477.58289638259	14.024006416316803
430000	-60957.02751776609	-224.20087393250515	-60732.826643833585	1.0030897236875145	1.000721288222159	0.08697737804593896	3.4503356956217672	1.8046398844051974	3.716946343674194	0.5035920206386615	3.556805445122148	0.5730741487136386	1.8538517025727228	0.9409160468250567	0.991551910191573	0.5946422246522678	0.9163200495754755	-0.18900411902049866	-30234.408413831454	-30498.418230002128	13.212840675731755
440000	-60955.17650482092	-224.81578216672517	-60730.36072265419	1.0212224441843212	1.0010191055503308	0.09191297608087268	3.762508402046385	1.8046398844051974	3.8107273459756246	0.5573056170606673	4.022126372115238	0.5752226331556664	1.8495547336886673	0.9297978380904774	0.980800599982851	0.5956889938965914	0.8806333272456834	0.07617035193969005	-30247.002563758317	-30483.358158895873	13.893118640685442
450000	-60948.481836359584	-223.89172034089378	-60724.59011601869	1.0219151503167692	0.9995384750117144	0.09338716187963132	2.976582414552711	1.827407989858988	3.757460672599956	0.5338481779891129	3.445895420503847	0.5695069069818876	1.860986186036225	0.9084169584475188	0.9512938918849618	0.6076214732364547	0.8128722076172598	0.03944267647378153	-30240.63212181246	-30483.957994206226	13.107099837991363
460000	-60966.200075704735	-224.30641287795692	-60741.89366282678	1.048493200109873	1.0009130702962068	0.09550741563005512	4.970511529433249	1.8302928118797284	3.8079102070616324	0.5077193969402978	3.5491845692385238	0.5210467263674401	1.9579065472651198	0.8485518978194809	0.9366259033055078	0.6001405014167577	0.7818285656190153	0.0631948460566492	-30262.19341328287	-30479.70024954391	13.132036846177266
470000	-60951.220241756666	-224.7211004997449	-60726.49914125692	1.0322160586950262	1.0022860195430394	0.09223368213300671	3.443057489901974	1.7559382321562793	3.6946679620891536	0.49914746957888706	3.5142675288538165	0.562181387531148	1.875637224937704	0.7955395475143674	0.8658104587660365	0.6007163663727023	0.6886512349620489	0.07128984157918516	-30249.98628310731	-30476.51285814961	14.543659482077263
480000	-60955.510867841	-223.8903887709296	-60731.62047907007	1.0055519816660454	1.001589563629479	0.09050952371272365	3.39374051688887	1.815751358003041	3.8438737778624286	0.5349241025788607	3.402361093222501	0.5441572114374557	1.9116855771250887	0.8557513985024542	0.9279676659375325	0.6087611817386774	0.7213019418737369	-0.011789008036334071	-30275.082554803248	-30456.537924266828	14.134263996444385
490000	-60961.42265689912	-226.66485628249347	-60734.75780061663	1.0215705142436153	0.9992756006590433	0.08568905209205023	5.661165567692772	1.8221993412744704	3.8438737778624286	0.5380937199863123	3.5829263329032637	0.567415296127235	1.86516940774553	0.8669285951114365	0.9251933912229451	0.6099443430233599	0.7219857510291832	-0.026150580547239725	-30259.639223801187	-30475.11857681544	10.719323767307433
500000	-60953.7687951126	-224.51641901125228	-60729.25237610134	1.0211546159647373	0.9992756006590433	0.09424050818313073	4.550505057684635	1.7800551190628162	3.8824470327900147	0.5380937199863123	3.5829263329032637	0.550619588708622	1.898760822582756	0.8470966927665924	0.9164309559098409	0.5946111487224925	0.8092406438543155	-0.006555552215122297	-30235.09015980163	-30494.162216299716	12.836469811973416
510000	-60967.78749907446	-225.2753776362541	-60742.51212143821	1.0509249425114844	0.9992756006590433	0.0878859194667577	3.2047555774465306	1.9137242781492367	3.6787324431358743	0.5380937199863123	3.751729034969263	0.5887090574775631	1.8225818850448738	0.846902169971036	0.9137686987338457	0.5883370028082731	0.7643644450580861	0.06558817436838772	-30239.957407527803	-30502.554713910406	12.39633207255952
520000	-60960.98905854235	-224.88405448963786	-60736.10500405271	0.9995430219146001	0.9995430219146001	0.08347187196310678	4.2972119771691855	1.8355792178279686	3.6787324431358743	0.5380937199863123	3.9541269977720006	0.5776608379756518	1.8446783240486964	0.8797170018160501	0.9533342743299779	0.5904583537332199	0.8050528365451788	0.04918911811834987	-30263.0632310663	-30473.041772986413	13.121673261174859
530000	-60963.223457702145	-225.09070776431696	-60738.132749937824	1.0010111465193765	1.0010111465193765	0.08866912900168757	3.446556279740124	1.8066067678777877	3.7734878711774655	0.5350125850820029	3.673698451682218	0.5518040880491151	1.8963918239017699	0.9574038770369543	0.9808063047644002	0.6063493074108472	0.7303733420711302	0.009497848427354875	-30250.399986817753	-30487.73276312007	12.8575806196361
540000	-60966.58238806704	-225.82177366565912	-60740.760614401384	0.9992894193055007	0.9992894193055007	0.09924369215438776	2.8469386316865255	1.8910256025142569	3.6977389558180307	0.526172808252945	3.673698451682218	0.5653697466208386	1.8692605067583228	0.8756563569455558	0.9315582178010002	0.5826507503856276	0.8119461583969881	0.06783429653175667	-30263.78073646478	-30476.9798779366	11.710450274564051
550000	-60952.69522665924	-225.8059293020048	-60726.88929735724	1.0031431847127974	1.0016374752182717	0.10916239902551153	3.889096190904936	1.9688996138237689	3.6977389558180307	0.515063934889688	3.4608414823741036	0.5630878724542893	1.8738242550914215	0.8153065284483754	0.9126645410064571	0.5752097970474832	0.7614288537289928	0.05829618431143411	-30243.299831226963	-30483.589466130277	12.342535259258307
